stock_code,description,units_sold,sales_value,units_cancelled,cancelled_value,cancelled_orders,cancellation_rate
21692,SILVER LATTICE VANILLA CANDLE POT,17,63.75,0,0,0,0
21693,SMALL HAMMERED SILVER CANDLEPOT,361,1107.91,0,0,0,0
21694,SMALL REGAL  SILVER CANDLEPOT,307,840.33,0,0,0,0
21695,SMALL SILVER FLOWER CANDLE POT,284,857.6800000000001,0,0,0,0
21696,SMALL SILVER TRELLIS CANDLEPOT,212,637.0000000000001,12,35.400000000000006,1,0.05357142857142857
21698,MOCK LOBSTER FRIDGE MAGNET,296,164.17,0,0,0,0
21700,BIG DOUGHNUT FRIDGE MAGNETS,1690,2304.3399999999997,36,30.599999999999998,1,0.02085747392815759
21703,BAG 125g SWIRLY MARBLES,9306,3493.61,87,36.54,6,0.009262216544235069
21704,BAG 250g SWIRLY MARBLES,5144,4039.2799999999997,5,3.86,3,9.710623422023694e-4
21705,BAG 500g SWIRLY MARBLES,1447,1442.37,20,31.599999999999998,3,0.013633265167007498
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,346,1616.81,0,0,0,0
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,160,763.6600000000001,0,0,0,0
21708,FOLDING UMBRELLA CREAM POLKADOT,189,858.1600000000001,1,4.95,1,0.005263157894736842
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,133,607.23,0,0,0,0
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,107,501.98,0,0,0,0
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,104,513.02,0,0,0,0
21713,CITRONELLA CANDLE FLOWERPOT,786,1817.74,16,32.35,5,0.0199501246882793
21714,CITRONELLA CANDLE GARDEN POT,1651,3010.65,20,25,5,0.011968880909634948
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,1330,3507.17,0,0,0,0
21716,BOYS VINTAGE TIN SEASIDE BUCKET,1425,3872.92,8,20.4,1,0.005582693649685973
21717,EASTER TIN BUCKET,408,946.93,0,0,0,0
21718,RED METAL BEACH SPADE,1493,2113.39,1,1.25,1,6.693440428380187e-4
21719,LOVELY BONBON STICKER SHEET,345,307.44,0,0,0,0
21720,CAKE SHOP  STICKER SHEET,57,48.449999999999996,0,0,0,0
21721,CANDY SHOP  STICKER SHEET,195,179.45999999999998,0,0,0,0
21722,SWEET PUDDING STICKER SHEET,98,95.53,1,0.85,1,0.010101010101010102
21723,ALPHABET HEARTS STICKER SHEET,397,350.08,0,0,0,0
21724,PANDA AND BUNNIES STICKER SHEET,408,355.83,0,0,0,0
21725,SWEETIES  STICKERS,301,277.24,0,0,0,0
21726,MULTI HEARTS  STICKERS,237,204.69,0,0,0,0
21730,GLASS STAR FROSTED T-LIGHT HOLDER,517,2514.4300000000003,14,68.60000000000001,8,0.026365348399246705
21731,RED TOADSTOOL LED NIGHT LIGHT,13952,23838.929999999997,186,281.29999999999995,12,0.013156033385202999
21733,RED HANGING HEART T-LIGHT HOLDER,7831,23091.09,57,152.95,13,0.007226166328600406
21735,TWO DOOR CURIO CABINET,190,2329.35,33,382.95,13,0.14798206278026907
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,80,137.22000000000003,3,1.17,1,0.03614457831325301
21738,COSY SLIPPER SHOES SMALL  RED,46,144.58,0,0,0,0
21739,COSY SLIPPER SHOES SMALL GREEN,254,703.08,0,0,0,0
21741,COSY SLIPPER SHOES LARGE GREEN,147,480.17,0,0,0,0
21742,LARGE ROUND WICKER PLATTER,194,1167.58,0,0,0,0
21743,STAR PORTABLE TABLE LIGHT,299,887.65,9,26.55,2,0.02922077922077922
21744,SNOWFLAKE PORTABLE TABLE LIGHT,529,1557.65,0,0,0,0
21745,GAOLERS KEYS DECORATIVE GARDEN,931,3460.73,4,15,1,0.0042780748663101605
21746,SMALL RED RETROSPOT WINDMILL,3063,3751.93,15,18.75,3,0.004873294346978557
21747,SMALL SKULL WINDMILL,473,630.61,12,15,1,0.024742268041237112
21749,LARGE RED RETROSPOT WINDMILL,1957,3864.4900000000002,8,16.8,3,0.004071246819338422
21750,LARGE SKULL WINDMILL,90,207.51000000000002,0,0,0,0
21754,HOME BUILDING BLOCK WORD,2746,16846.120000000003,20,118.60000000000001,10,0.0072306579898770785
21755,LOVE BUILDING BLOCK WORD,2008,12418.01,4,23.8,2,0.0019880715705765406
21756,BATH BUILDING BLOCK WORD,809,5006.26,2,11.9,1,0.002466091245376079
21757,LIGHTHOUSE PRINTED METAL SIGN,6,29.700000000000003,0,0,0,0
21758,VINTAGE SHELLS PRINT,50,427.46000000000004,0,0,0,0
21761,WOOD AND GLASS MEDICINE CABINET,10,299.5,0,0,0,0
21763,VINTAGE WOODEN BAR STOOL,6,169.75,0,0,0,0
21769,VINTAGE POST OFFICE CABINET,11,607.6500000000001,0,0,0,0
21770,OPEN CLOSED METAL SIGN,1632,7894.2300000000005,6,29.700000000000003,1,0.003663003663003663
21773,DECORATIVE ROSE BATHROOM BOTTLE,1170,1154.17,0,0,0,0
21774,DECORATIVE CATS BATHROOM BOTTLE,1095,1152.4,1,1.25,1,9.124087591240876e-4
21775,DECORATIVE FLORE BATHROOM BOTTLE,515,716.86,3,3.75,1,0.005791505791505791
21777,RECIPE BOX WITH METAL HEART,12,95.4,5,39.75,2,0.29411764705882354
21781,MA CAMPAGNE CUTLERY BOX,164,2602,21,283.15,8,0.11351351351351352
21784,SHOE SHINE BOX,57,633.0699999999999,2,19.9,1,0.03389830508474576
21785,RAIN PONCHO,411,268.76,0,0,0,0
21786,POLKADOT RAIN HAT,1937,916.99,22,9.24,1,0.011230219499744768
21787,RAIN PONCHO RETROSPOT,8347,6741.0999999999995,528,420,3,0.05949295774647887
21788,KIDS RAIN MAC BLUE,1293,1029.24,22,18.5,3,0.016730038022813688
21789,KIDS RAIN MAC PINK,924,802.8,20,17,2,0.0211864406779661
21790,VINTAGE SNAP CARDS,14449,12448.81,85,72.25,3,0.005848355580019265
21791,VINTAGE HEADS AND TAILS CARD GAME,7828,10459.4,36,45,3,0.004577822990844354
21792,CLASSIC FRENCH STYLE BASKET GREEN,335,1439.77,9,57.95,2,0.02616279069767442
21793,CLASSIC FRENCH STYLE BASKET BROWN,304,1296.6100000000001,0,0,0,0
21794,CLASSIC FRENCH STYLE BASKET NATURAL,522,2213.42,3,11.850000000000001,2,0.005714285714285714
21801,CHRISTMAS TREE DECORATION WITH BELL,1215,515.14,36,15.12,1,0.02877697841726619
21802,CHRISTMAS TREE HEART DECORATION,2122,919.14,1,0.42,1,4.710315591144607e-4
21803,CHRISTMAS TREE STAR DECORATION,2353,1016.02,0,0,0,0
21804,WHITE CHRISTMAS GARLAND STARS TREES,225,830.03,0,0,0,0
21807,WHITE CHRISTMAS STAR DECORATION,438,189,0,0,0,0
21808,"CHRISTMAS GARLAND STARS,TREES",180,637.83,0,0,0,0
21809,CHRISTMAS HANGING TREE WITH BELL,1964,1117.92,0,0,0,0
21810,CHRISTMAS HANGING STAR WITH BELL,5781,2908.0899999999997,59,73.75,2,0.010102739726027397
21811,CHRISTMAS HANGING HEART WITH BELL,231,307.6,0,0,0,0
21811,HANGING HEART WITH BELL,4571,2356.08,48,18.72,1,0.010391859709893916
21812,GARLAND WITH HEARTS AND BELLS,379,1676.97,14,69.30000000000001,3,0.035623409669211195
21813,GARLAND WITH STARS AND BELLS,543,2250.77,7,34.650000000000006,2,0.012727272727272728
21814,HEART T-LIGHT HOLDER,74,111.77,0,0,0,0
21815,STAR  T-LIGHT HOLDER,158,270.22999999999996,0,0,0,0
21816,CHRISTMAS TREE T-LIGHT HOLDER,33,47.849999999999994,0,0,0,0
21817,GLITTER CHRISTMAS TREE,906,410.91,0,0,0,0
21818,GLITTER CHRISTMAS HEART,268,231.82,0,0,0,0
21818,GLITTER HEART DECORATION,2469,1088.5900000000001,0,0,0,0
21819,GLITTER CHRISTMAS STAR,2470,1066.65,0,0,0,0
21820,GLITTER HEART GARLAND WITH BELLS,299,1255.97,30,112.5,3,0.0911854103343465
21821,GLITTER STAR GARLAND WITH BELLS,239,992.05,12,45,1,0.04780876494023904
21822,GLITTER CHRISTMAS TREE WITH BELLS,698,719.3,3,4.6899999999999995,2,0.0042796005706134095
21823,PAINTED METAL HEART WITH HOLLY BELL,1372,854.3499999999999,0,0,0,0
21824,PAINTED METAL STAR WITH HOLLY BELLS,1892,1067.62,24,34.8,1,0.012526096033402923
21826,EIGHT PIECE DINOSAUR SET,125,185.18,4,5,1,0.031007751937984496
21827,EIGHT PIECE CREEPY CRAWLIE SET,6,7.5,0,0,0,0
21828,EIGHT PIECE SNAKE  SET,330,435.79,0,0,0,0
21829,DINOSAUR KEYRINGS ASSORTED,6657,1438.06,108,22.68,1,0.015964523281596452
21830,ASSORTED CREEPY CRAWLIES,2573,1086.91,48,20.16,2,0.018313620755436855
21832,CHOCOLATE CALCULATOR,929,1748.85,25,41.25,1,0.02620545073375262
21833,CAMOUFLAGE LED TORCH,2702,4553.87,30,50.7,3,0.010980966325036604
21836,GINGHAM OVEN GLOVE RED HEART,5,26.490000000000002,0,0,0,0
21839,MUMMY MOUSE RED GINGHAM RIBBON,1,5.45,0,0,0,0
21841,BABY MOUSE RED GINGHAM DRESS,73,310.25,0,0,0,0
21843,RED RETROSPOT CAKE STAND,1758,19586.399999999998,322,2480.5,42,0.1548076923076923
21844,RED RETROSPOT MUG,1847,5167.6900000000005,20,58.60000000000001,11,0.010712372790573112
21845,DAIRY MAID STRIPE MUG,1906,1720.3000000000002,52,75.64,8,0.026557711950970377
21846,PINK DIAMANTE PEN IN GIFT BOX,412,1147.57,12,59.400000000000006,1,0.02830188679245283
21847,GREEN  DIAMANTE PEN IN GIFT BOX,76,178.89,0,0,0,0
21849,SILVER DIAMANTE PEN IN GIFT BOX,173,548.93,0,0,0,0
21850,BLUE  DIAMANTE PEN IN GIFT BOX,93,335.13,36,153,1,0.27906976744186046
21851,LILAC DIAMANTE PEN IN GIFT BOX,141,454.99,0,0,0,0
21864,UNION JACK FLAG PASSPORT COVER,828,2041.69,20,42,1,0.02358490566037736
21865,PINK UNION JACK  PASSPORT COVER,271,618.9300000000001,0,0,0,0
21866,UNION JACK FLAG LUGGAGE TAG,747,1292.38,0,0,0,0
21867,PINK UNION JACK  LUGGAGE TAG,348,480.25,0,0,0,0
21868,POTTING SHED TEA MUG,2453,3229.75,85,99.41,10,0.033490937746256895
21870,I CAN ONLY PLEASE ONE PERSON MUG,1383,1821.46,26,32.5,3,0.018452803406671398
21871,SAVE THE PLANET MUG,4805,5992.68,685,740.94,12,0.12477231329690346
21872,GLAMOROUS  MUG,1292,1454.98,16,17.72,2,0.012232415902140673
21873,IF YOU CAN'T STAND THE HEAT MUG,1534,1742.98,91,100.07000000000001,4,0.056
21874,GIN AND TONIC MUG,2962,4126.179999999999,22,27.71,7,0.007372654155495978
21875,KINGS CHOICE MUG,2031,2399.38,28,35,5,0.013598834385624089
21876,POTTERING MUG,3762,4786.8099999999995,42,58.9,8,0.011041009463722398
21877,HOME SWEET HOME MUG,4415,5872.46,1052,1134.3200000000002,15,0.19242729101884032
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2511,2162,13,11.049999999999999,2,0.005150554675118859
21879,HEARTS GIFT TAPE,1176,385.47,0,0,0,0
21880,RED RETROSPOT TAPE,1891,850.98,12,7.800000000000001,1,0.006305832895428271
21881,CUTE CATS TAPE,1102,383.11,0,0,0,0
21882,SKULLS TAPE,704,251.17000000000002,0,0,0,0
21883,STARS GIFT TAPE,1653,725.4200000000001,1,0.19,1,6.045949214026602e-4
21884,CAKES AND BOWS GIFT  TAPE,1166,413.76,0,0,0,0
21888,BINGO SET,1681,6633.29,15,56.25,5,0.00884433962264151
21889,WOODEN BOX OF DOMINOES,6366,8817.29,26,32.5,2,0.004067584480600751
21890,S/6 WOODEN SKITTLES IN COTTON BAG,1147,3674.11,6,18.4,5,0.005203816131830009
21891,TRADITIONAL WOODEN SKIPPING ROPE,8094,10455.05,46,59.32,6,0.005651105651105651
21892,TRADITIONAL WOODEN CATCH CUP GAME,3180,4302.16,13,16.25,2,0.004071406201064829
21894,POTTING SHED SEED ENVELOPES,592,902.08,0,0,0,0
21895,POTTING SHED SOW 'N' GROW SET,2,12.72,0,0,0,0
21896,POTTING SHED TWINE,980,2272.79,5,9.75,3,0.005076142131979695
21897,POTTING SHED CANDLE CITRONELLA,405,1268.1899999999998,0,0,0,0
21898,POTTING SHED ROSE CANDLE,493,1541.11,0,0,0,0
21899,GARAGE KEY FOB,777,565.8100000000001,0,0,0,0
21899,"KEY FOB , GARAGE DESIGN",1902,1192.16,43,27.950000000000003,4,0.02210796915167095
21900,"KEY FOB , SHED",3228,2197.17,5,3.25,2,0.001546551190844417
21901,"KEY FOB , BACK DOOR",1828,1277.89,9,5.8500000000000005,1,0.004899292324442025
21902,"KEY FOB , FRONT  DOOR",1953,1256.52,9,5.8500000000000005,2,0.0045871559633027525
21903,MAN FLU METAL SIGN,1148,2464.9300000000003,13,27.300000000000004,2,0.01119724375538329
21904,HOUSE WRECKING METAL SIGN,50,105.00000000000001,0,0,0,0
21905,MORE BUTTER METAL SIGN,760,821.61,0,0,0,0
21906,PHARMACIE FIRST AID TIN,578,4450.5599999999995,17,114.75,6,0.02857142857142857
21907,I'M ON HOLIDAY METAL SIGN,2359,5001.9800000000005,13,27.300000000000004,2,0.0054806070826306915
21908,CHOCOLATE THIS WAY METAL SIGN,3747,7701.820000000001,26,54.60000000000001,3,0.0068910681155579115
21910,WAY OUT METAL SIGN,36,59.39999999999999,0,0,0,0
21911,GARDEN METAL SIGN,102,183.40999999999997,12,19.799999999999997,1,0.10526315789473684
21912,VINTAGE SNAKES & LADDERS,1786,7047.7,0,0,0,0
21913,VINTAGE SEASIDE JIGSAW PUZZLES,396,1558.33,3,11.25,2,0.007518796992481203
21914,BLUE HARMONICA IN BOX,7864,10324.81,36,45,2,0.004556962025316456
21915,RED  HARMONICA IN BOX,21855,26234.08,67,83.75,9,0.00305629048444485
21916,SET 12 RETRO WHITE CHALK STICKS,4575,1963.41,24,10.08,1,0.005218525766470972
21917,SET 12 KIDS  WHITE CHALK STICKS,4150,1701.51,13,5.46,2,0.0031227480182560653
21918,SET 12 KIDS COLOUR  CHALK STICKS,7198,2949.83,16,6.72,3,0.0022179096201829776
21922,UNION STRIPE WITH FRINGE  HAMMOCK,898,6944.360000000001,0,0,0,0
21925,UNION STRIPE CUSHION COVER,399,498.75,6,7.5,4,0.014814814814814815
21926,RED/CREAM STRIPE CUSHION COVER,402,494.9,14,17.5,2,0.03365384615384615
21927,BLUE/CREAM STRIPE CUSHION COVER,599,741.15,39,48.75,8,0.061128526645768025
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,8201,16862.19,265,479.58,8,0.031301677297424994
21928,JUMBO BAG SCANDINAVIAN PAISLEY,2057,3904.72,3,4.949999999999999,2,0.0014563106796116505
21929,JUMBO BAG PINK VINTAGE PAISLEY,10795,22813.48,222,387.07,12,0.02015067622764818
21930,JUMBO STORAGE BAG SKULLS,6437,14004.12,3,6.24,3,4.658385093167702e-4
21931,JUMBO STORAGE BAG SUKI,13340,30209.13,334,602.33,17,0.02442591780020477
21932,SCANDINAVIAN PAISLEY PICNIC BAG,2690,4945.88,33,55.35,3,0.012118986412045538
21933,PINK VINTAGE PAISLEY PICNIC BAG,2661,4926.28,13,34.45,4,0.0048616305160807775
21934,SKULL SHOULDER BAG,2411,4463.78,10,16.5,1,0.004130524576621231
21935,SUKI  SHOULDER BAG,3392,6296.96,1,1.65,1,2.947244326554671e-4
21936,RED RETROSPOT PICNIC BAG,3984,11662.24,56,157.10000000000002,12,0.013861386138613862
21937,STRAWBERRY   PICNIC BAG,1697,4869.3499999999995,16,47.2,6,0.009340338587273789
21942,SKULLS DESIGN FLANNEL,275,302.81,12,10.2,1,0.041811846689895474
21943,CAKES AND RABBITS DESIGN FLANNEL,119,134.48999999999998,0,0,0,0
21944,KITTENS DESIGN FLANNEL,337,310.19,0,0,0,0
21945,STRAWBERRIES  DESIGN FLANNEL,358,373.34,0,0,0,0
21946,PARTY TIME DESIGN FLANNEL,86,75.35,0,0,0,0
21947,SET OF 6 HEART CHOPSTICKS,811,1139.65,0,0,0,0
21948,SET OF 6 CAKE CHOPSTICKS,640,978.23,0,0,0,0
21949,SET OF 6 STRAWBERRY CHOPSTICKS,801,1054.44,0,0,0,0
21955,DOORMAT UNION JACK GUNS AND ROSES,1228,7580.82,0,0,0,0
21967,PACK OF 12 SKULL TISSUES,5271,1582.1499999999999,0,0,0,0
21972,SET OF 36 DINOSAUR PAPER DOILIES,335,499.08,2,2.9,2,0.005934718100890208
21973,SET OF 36 MUSHROOM PAPER DOILIES,159,230.54999999999998,1,1.45,1,0.00625
21974,SET OF 36 PAISLEY FLOWER DOILIES,2158,3457.1499999999996,61,88.44999999999999,6,0.027489860297431275
21975,PACK OF 60 DINOSAUR CAKE CASES,12288,6089.31,71,36.06,3,0.005744801359333279
21976,PACK OF 60 MUSHROOM CAKE CASES,5175,2856.7000000000003,29,15.950000000000001,2,0.005572636433512683
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24748,12186.720000000001,101,55.550000000000004,6,0.004064549881282949
21980,PACK OF 12 RED RETROSPOT TISSUES,6577,2089.8599999999997,132,38.28,3,0.01967506334774184
21981,PACK OF 12 WOODLAND TISSUES,5468,1651.3,7,2.73,1,0.0012785388127853881
21982,PACK OF 12 SUKI TISSUES,7173,2215.6099999999997,1,0.39,1,1.3939224979091162e-4
21983,PACK OF 12 BLUE PAISLEY TISSUES,2301,777.67,24,6.959999999999999,1,0.01032258064516129
21984,PACK OF 12 PINK PAISLEY TISSUES,3422,1102.1599999999999,60,17.4,2,0.01723147616312464
21985,PACK OF 12 HEARTS DESIGN TISSUES,8775,2729.5099999999998,0,0,0,0
21986,PACK OF 12 PINK POLKADOT TISSUES,4067,1197.73,0,0,0,0
21987,PACK OF 6 SKULL PAPER CUPS,2101,1338.8500000000001,13,8.450000000000001,2,0.006149479659413435
21988,PACK OF 6 SKULL PAPER PLATES,2321,1862.75,0,0,0,0
21989,PACK OF 20 SKULL PAPER NAPKINS,2409,2233.1,0,0,0,0
21990,MODERN FLORAL STATIONERY SET,1672,2870,12,15,1,0.007125890736342043
21991,BOHEMIAN COLLAGE STATIONERY SET,623,1065.82,12,15,1,0.01889763779527559
21992,VINTAGE PAISLEY STATIONERY SET,1901,3510.72,0,0,0,0
21993,FLORAL FOLK STATIONERY SET,1925,3340.84,12,15,1,0.00619514713474445
22016,Dotcomgiftshop Gift Voucher £100.00,1,83.33,0,0,0,0
22021,BLUE FELT EASTER EGG BASKET,365,610.4499999999999,0,0,0,0
22023,EMPIRE BIRTHDAY CARD,1194,533.68,12,5.04,1,0.009950248756218905
22024,RAINY LADIES BIRTHDAY CARD,2394,1018.6899999999999,12,5.04,1,0.004987531172069825
22025,RING OF ROSES BIRTHDAY CARD,1823,756.01,12,5.04,1,0.006539509536784741
22026,BANQUET BIRTHDAY  CARD,1632,707.04,12,5.04,1,0.0072992700729927005
22027,TEA PARTY BIRTHDAY CARD,4200,1811.79,168,61.919999999999995,3,0.038461538461538464
22028,PENNY FARTHING BIRTHDAY CARD,3042,1304.1399999999999,12,5.04,1,0.003929273084479371
22029,SPACEBOY BIRTHDAY CARD,8149,3382.5299999999997,12,5.04,1,0.001470408038230609
22030,SWALLOWS GREETING CARD,5527,2237.89,0,0,0,0
22031,BOTANICAL LAVENDER BIRTHDAY CARD,492,220.55,12,5.04,1,0.023809523809523808
22032,BOTANICAL LILY GREETING CARD,427,181.98,0,0,0,0
22033,BOTANICAL ROSE GREETING CARD,337,141.95,0,0,0,0
22034,ROBIN CHRISTMAS CARD,10,5.02,12,5.04,1,0.5454545454545454
22035,VINTAGE CARAVAN GREETING CARD,1452,617.3199999999999,0,0,0,0
22037,ROBOT BIRTHDAY CARD,3929,1695.32,0,0,0,0
22038,BOTANICAL LAVENDER GIFT WRAP,475,199.5,0,0,0,0
22039,BOTANICAL LILY GIFT WRAP,225,94.5,25,10.5,1,0.1
22040,BOTANICAL ROSE GIFT WRAP,725,304.5,0,0,0,0
22041,"RECORD FRAME 7"" SINGLE SIZE",4343,11275.51,38,93.75,4,0.008673818762839534
22042,CHRISTMAS CARD SINGING ANGEL,387,163.29,12,5.04,1,0.03007518796992481
22043,CHRISTMAS CARD SCREEN PRINT,1238,304.5,0,0,0,0
22044,CHRISTMAS CARD STACK OF PRESENTS,816,196.44000000000003,0,0,0,0
22045,SPACEBOY GIFT WRAP,6452,2641.84,75,31.5,3,0.011490730810479546
22046,TEA PARTY  WRAPPING PAPER,2225,918.5,34,14.28,2,0.015050907481186366
22047,EMPIRE GIFT WRAP,3350,1363,25,10.5,1,0.007407407407407408
22048,BIRTHDAY BANQUET GIFT WRAP,950,383,25,10.5,1,0.02564102564102564
22049,WRAP CHRISTMAS SCREEN PRINT,1050,291.5,25,10.5,1,0.023255813953488372
22050,PINK PAISLEY ROSE GIFT WRAP,1200,488,25,10.5,1,0.02040816326530612
22051,BLUE SCANDINAVIAN PAISLEY WRAP,975,409.5,0,0,0,0
22052,VINTAGE CARAVAN GIFT WRAP,600,252,50,21,2,0.07692307692307693
22053,EMPIRE DESIGN ROSETTE,4244,3606.4199999999996,1,1.25,1,2.3557126030624264e-4
22055,MINI CAKE STAND  HANGING STRAWBERY,1364,2065.04,23,37.75,7,0.01658255227108868
22057,CERAMIC PLATE STRAWBERRY DESIGN,548,614.28,48,71.52,4,0.08053691275167785
22059,CERAMIC STRAWBERRY DESIGN MUG,1780,2081.54,24,35.76,8,0.013303769401330377
22060,LARGE CAKE STAND HANGING HEARTS,231,1111.05,16,87.2,6,0.06477732793522267
22061,LARGE CAKE STAND  HANGING STRAWBERY,581,4208.11,16,149.04999999999998,15,0.02680067001675042
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,583,677.86,6,4.9799999999999995,1,0.010186757215619695
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,582,1364.5,6,17.700000000000003,5,0.01020408163265306
22064,PINK DOUGHNUT TRINKET POT,1726,2542.9999999999995,35,56.15,14,0.019875070982396367
22065,CHRISTMAS PUDDING TRINKET POT,6729,3462.25,22,22.02,8,0.00325877647755888
22066,LOVE HEART TRINKET POT,2239,1044.81,5,1.9500000000000002,2,0.0022281639928698753
22067,CHOC TRUFFLE GOLD TRINKET POT,406,635.3199999999999,6,9.1,3,0.014563106796116505
22068,BLACK PIRATE TREASURE CHEST,514,836.5899999999999,13,21.449999999999996,2,0.024667931688804556
22069,BROWN  PIRATE TREASURE CHEST,414,993.5,0,0,0,0
22070,SMALL RED RETROSPOT MUG IN BOX,654,2025.3600000000001,296,336.54,5,0.31157894736842107
22071,SMALL WHITE RETROSPOT MUG IN BOX,449,1226.3,286,180.5,5,0.3891156462585034
22072,RED RETROSPOT TEA CUP AND SAUCER,848,2811.17,19,71.25,9,0.02191464821222607
22073,RED RETROSPOT STORAGE JAR,324,1298.64,12,45,2,0.03571428571428571
22074,6 RIBBONS SHIMMERING PINKS,1390,1219.87,12,19.799999999999997,1,0.008559201141226819
22075,6 RIBBONS ELEGANT CHRISTMAS,1761,2469.23,12,19.799999999999997,1,0.00676818950930626
22076,6 RIBBONS EMPIRE,1259,1667.8799999999999,0,0,0,0
22077,6 RIBBONS RUSTIC CHARM,9159,17165.17,34,56.099999999999994,6,0.0036984662243010986
22078,RIBBON REEL LACE DESIGN,1369,2923.21,0,0,0,0
22079,RIBBON REEL HEARTS DESIGN,1867,3275.79,30,49.5,3,0.0158144438587243
22080,RIBBON REEL POLKADOTS,1196,1986.98,10,16.5,1,0.008291873963515755
22081,RIBBON REEL FLORA + FAUNA,634,1160,10,16.5,1,0.015527950310559006
22082,RIBBON REEL STRIPES DESIGN,2660,4628.88,20,33,2,0.007462686567164179
22083,PAPER CHAIN KIT RETROSPOT,4607,14025.09,56,165.20000000000002,5,0.012009435985417113
22084,PAPER CHAIN KIT EMPIRE,5176,15084.62,41,120.95,2,0.007858922752539774
22085,PAPER CHAIN KIT SKULLS,548,1566.99,0,0,0,0
22086,PAPER CHAIN KIT 50'S CHRISTMAS,18962,63936.94,453,1160.35,10,0.023332474890548544
22087,PAPER BUNTING WHITE LACE,4037,11739.83,76,223.8,8,0.018477996596158522
22088,PAPER BUNTING COLOURED LACE,1838,5514.8,56,149.2,3,0.029567053854276663
22089,PAPER BUNTING VINTAGE PAISLEY,1423,4457.43,0,0,0,0
22090,PAPER BUNTING RETROSPOT,7493,22597.510000000002,72,196.4,7,0.009517514871116985
22091,EMPIRE TISSUE BOX,1983,1030.1000000000001,7,8.75,1,0.0035175879396984926
22092,BLUE PAISLEY TISSUE BOX,670,321.40000000000003,0,0,0,0
22093,MOTORING TISSUE BOX,1830,822.13,12,15,1,0.006514657980456026
22094,RED RETROSPOT TISSUE BOX,2130,1120.96,65,39.97,5,0.029612756264236904
22095,LADS ONLY TISSUE BOX,1643,1605.96,9,11.06,2,0.005447941888619854
22096,PINK PAISLEY SQUARE TISSUE BOX,1366,584.09,6,2.34,1,0.004373177842565598
22097,SWALLOW SQUARE TISSUE BOX,1596,732.39,10,3.9000000000000004,1,0.0062266500622665
22098,BOUDOIR SQUARE TISSUE BOX,1956,987.51,75,30.11,6,0.03692762186115214
22099,CARAVAN SQUARE TISSUE BOX,1440,800.59,9,11.25,1,0.006211180124223602
22100,SKULLS SQUARE TISSUE BOX,755,354.82,0,0,0,0
22101,MIRROR MOSAIC VOTIVE HOLDER,1114,1926.8100000000002,324,126.36,1,0.22531293463143254
22102,MIRROR MOSAIC T-LIGHT HOLDER,902,551.04,720,280.8,1,0.4438964241676942
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,780,725.72,482,201.66,3,0.38193343898573695
22104,MIRROR MOSAIC CANDLE PLATE,288,343.71,0,0,0,0
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,334,619.8199999999999,240,228,1,0.4181184668989547
22106,MIRROR MOSAIC HURRICANE LAMP,229,748.38,121,156.75,2,0.3457142857142857
22107,PIZZA PLATE IN BOX,588,2138.06,21,76.25,4,0.034482758620689655
22108,PING! MICROWAVE PLATE,152,415.09000000000003,0,0,0,0
22109,FULL ENGLISH BREAKFAST PLATE,1636,6906.15,33,114.39,5,0.019772318753744758
22110,BIRD HOUSE HOT WATER BOTTLE,1172,4912.14,2,5.1,1,0.0017035775127768314
22111,SCOTTIE DOG HOT WATER BOTTLE,4654,24450.440000000002,129,544.45,7,0.0269705205937696
22112,CHOCOLATE HOT WATER BOTTLE,5945,32520.58,128,548.88,8,0.02107689774411329
22113,GREY HEART HOT WATER BOTTLE,3216,12748.08,27,104.25,4,0.008325624421831638
22114,HOT WATER BOTTLE TEA AND SYMPATHY,5660,32671.84,82,310.1,5,0.014280738418669453
22115,METAL SIGN EMPIRE TEA,1549,2020.91,0,0,0,0
22116,METAL SIGN HIS DINNER IS SERVED,563,610.22,12,10.2,1,0.020869565217391306
22117,METAL SIGN HER DINNER IS SERVED,1320,3896.4500000000003,0,0,0,0
22118,JOY WOODEN BLOCK LETTERS,230,895.26,0,0,0,0
22119,PEACE WOODEN BLOCK LETTERS,344,1727.92,1,6.95,1,0.002898550724637681
22120,WELCOME  WOODEN BLOCK LETTERS,511,5127.69,12,119.39999999999999,2,0.022944550669216062
22121,NOEL WOODEN BLOCK LETTERS,352,2159.7000000000003,1,5.95,1,0.0028328611898017
22123,PING MICROWAVE APRON,508,1068.3799999999999,0,0,0,0
22124,SET OF 2 TEA TOWELS PING MICROWAVE,149,306.16,0,0,0,0
22125,UNION JACK HOT WATER BOTTLE,13,139.85999999999999,0,0,0,0
22127,PARTY CONES CARNIVAL ASSORTED,404,504.88,0,0,0,0
